STT,Brand,Folder,Category,Keywords,Theme,Primary_Color,Accent_Color,Background,Text_Color,Heading_Font,Body_Font,Mono_Font,Border_Radius,Shadow_Style,Design_Philosophy,Best_For,Agent_Quick_Prompt
11,Spotify,spotify,enterprise-consumer,"music, streaming, green, dark, bold-type, album-art, circular-font, vibrant",dark,#1DB954,#1DB954,#121212,#FFFFFF,Circular (weight 700-900),Circular (weight 400),—,"4-8px standard","Minimal shadows — color contrast dominates","Vibrant green on dark. Bold oversized type. Album art as primary visual.","Music, streaming, entertainment, media-rich dark interfaces","Use Circular font, #121212 dark bg, #1DB954 green accent, bold type weight 700+, 4px radius"
12,BMW,bmw,enterprise-consumer,"luxury, automotive, dark-premium, german-engineering, precise, cinematic",dark,#1C69D4,#1C69D4,#1A1A1A,#FFFFFF,BMW Type (weight 700),BMW Type (weight 400),—,"4-8px conservative","Deep premiums: 0px 8px 24px rgba(0,0,0,0.3)","Dark premium surfaces. German engineering precision. Automotive luxury.","Automotive, luxury brands, premium dark interfaces","Use dark premium bg #1A1A1A, #1C69D4 blue accent, conservative radius, deep shadows"
13,SpaceX,spacex,enterprise-consumer,"space, futuristic, black-white, full-bleed-imagery, stark, minimal, d-din-font",dark,#FFFFFF,#FFFFFF,#000000,#FFFFFF,D-DIN (weight 700),D-DIN (weight 400),—,"0px sharp","No shadows — full-bleed imagery with contrast","Stark black and white. Full-bleed imagery. Futuristic minimalism. Text over image.","Space tech, futuristic brands, full-bleed imagery sites","Use black #000000 bg, white text, D-DIN font, 0px radius (sharp), full-bleed images"
14,Uber,uber,enterprise-consumer,"mobility, bold, black-white, tight-type, urban, uber-move-font, systematic",both,#000000,#276EF1,#FFFFFF,#000000,Uber Move (weight 700),Uber Move (weight 400),Uber Move Mono,"8px standard","Standard: 0px 2px 8px rgba(0,0,0,0.08)","Bold black and white. Tight typography. Urban energy. Systematic.","Mobility platforms, urban services, bold B&W interfaces","Use Uber Move font, #000000 primary, tight letter-spacing, 8px radius, bold systematic layout"
15,IBM,ibm,enterprise-consumer,"enterprise, carbon-design, structured-blue, technical, grid-based, plex-font",both,#0F62FE,#0F62FE,#FFFFFF,#161616,IBM Plex Sans (weight 600),IBM Plex Sans (weight 400),IBM Plex Mono,"4-8px structured","Standard elevation tokens from Carbon DS","Carbon design system. Structured blue palette. Grid-based. Enterprise-clean.","Enterprise software, government, technical platforms","Use IBM Plex Sans, #0F62FE blue, Carbon Design tokens, 4px radius, structured grid layout"
16,NVIDIA,nvidia,enterprise-consumer,"gpu, computing, green-black, technical, power, dark-theme, energy",dark,#76B900,#76B900,#1A1A1A,#EEEEEE,NVIDIA Sans (weight 700),NVIDIA Sans (weight 400),—,"4-8px standard","Subtle on dark: rgba(0,0,0,0.2)","Green-black energy. Technical power aesthetic. GPU computing vibes.","GPU computing, tech hardware, high-performance products","Use #76B900 green on dark #1A1A1A bg, technical aesthetic, NVIDIA Sans font"
17,Coinbase,coinbase,enterprise-consumer,"crypto, exchange, blue, trust, institutional, clean, professional",light,#0052FF,#0052FF,#FFFFFF,#0A0B0D,Coinbase Sans (weight 500),Coinbase Text (weight 400),Coinbase Mono,"8px standard","Standard: 0px 2px 4px rgba(0,0,0,0.08)","Clean blue identity. Trust-focused. Institutional feel. Crypto-professional.","Crypto exchanges, financial platforms, trust-focused products","Use Coinbase Sans, #0052FF blue, clean white bg, trust-focused layout, 8px radius"
18,Revolut,revolut,fintech-crypto,"banking, dark, gradient, fintech, precision, sleek, cards",dark,#0075EB,#0075EB,#171717,#FFFFFF,Basier Circle (weight 600),Basier Circle (weight 400),—,"12-16px rounded","Dark elevated: 0px 8px 24px rgba(0,0,0,0.25)","Sleek dark interface. Gradient cards. Fintech precision.","Digital banking, fintech, dark premium financial apps","Use dark bg #171717, #0075EB blue accent, gradient card effects, rounded 12px radius"
19,Wise,wise,fintech-crypto,"money-transfer, green, friendly, clear, accessible, bright, lime",light,#9FE870,#163300,#F2F5F0,#163300,Mulish (weight 700),Mulish (weight 400),—,"8-16px comfortable","Light: 0px 1px 3px rgba(0,0,0,0.08)","Bright green accent. Friendly and clear. Accessible design. No financial jargon.","Money transfer, accessible fintech, friendly financial apps","Use Mulish font, bright green #9FE870 accent, light bg #F2F5F0, friendly tone, 8px radius"
20,Kraken,kraken,fintech-crypto,"crypto, trading, purple, dark, data-dense, dashboards, professional",dark,#7B61FF,#7B61FF,#0B0E11,#FFFFFF,Inter (weight 600),Inter (weight 400),Roboto Mono,"4-8px standard","Dark: rgba(0,0,0,0.3)","Purple-accented dark UI. Data-dense dashboards. Professional trading.","Crypto trading, data-dense dashboards, dark financial platforms","Use Inter font, dark bg #0B0E11, #7B61FF purple accent, data-dense layout, 4px radius"
21,Raycast,raycast,developer-tools,"productivity, launcher, dark-chrome, vibrant-gradients, sleek, macos, command-palette",dark,#FF6363,#FF6363,#1A1A1A,#FFFFFF,Inter (weight 600),Inter (weight 400),SF Mono,"8-12px comfortable","Multi-layer elevated dark shadows","Sleek dark chrome. Vibrant gradient accents. Command-palette aesthetic.","Productivity launchers, macOS-style apps, command palette UIs","Use Inter font, dark bg #1A1A1A, vibrant gradient accents, 8px radius, command-palette style"
22,Warp,warp,developer-tools,"terminal, modern, dark, block-ui, ide-like, developer, command",dark,#01A4FF,#01A4FF,#0D1117,#E6EDF3,Inter (weight 600),Inter (weight 400),JetBrains Mono,"8px standard","Dark ambient: rgba(0,0,0,0.2)","Dark IDE-like interface. Block-based command UI. Modern terminal.","Modern terminals, CLI tools, block-based command interfaces","Use Inter + JetBrains Mono, dark bg #0D1117, #01A4FF blue accent, block-based layout"
23,Resend,resend,developer-tools,"email-api, dark, minimal, monospace, developer-centric, clean, black",dark,#FFFFFF,#FFFFFF,#000000,#FFFFFF,Inter (weight 500),Inter (weight 400),Geist Mono,"6-8px standard","Minimal dark shadows","Minimal dark theme. Monospace accents. Developer-centric. Email API clean.","Email APIs, developer tools, minimal dark interfaces","Use Inter + Geist Mono, black #000000 bg, white text, minimal aesthetic, 6px radius"
24,Sentry,sentry,developer-tools,"error-monitoring, dark, pink-purple, data-dense, dashboard, developer",dark,#6C5FC7,#F7508A,#1D1127,#EBE6EF,Rubik (weight 600),Rubik (weight 400),Roboto Mono,"6-8px standard","Dark elevated: rgba(0,0,0,0.2)","Dark dashboard. Data-dense. Pink-purple accent. Error monitoring vibe.","Error monitoring, developer dashboards, data-dense dark UIs","Use Rubik font, dark bg #1D1127, #6C5FC7 purple + #F7508A pink, data-dense layout"
25,PostHog,posthog,developer-tools,"analytics, hedgehog, dark, playful, developer-friendly, orange, illustrations",dark,#F54E00,#F54E00,#1D1F27,#E5E7E0,Manrope (weight 700),Manrope (weight 400),Source Code Pro,"8-12px comfortable","Dark: rgba(0,0,0,0.15)","Playful hedgehog branding. Developer-friendly dark UI. Fun but functional.","Product analytics, developer-friendly tools, playful dark UIs","Use Manrope font, dark bg #1D1F27, #F54E00 orange accent, playful illustrations, 8px radius"
26,Mintlify,mintlify,developer-tools,"documentation, clean, green, reading-optimized, developer, docs, content",light,#0D9373,#0D9373,#FFFFFF,#1A1A1A,Inter (weight 600),Inter (weight 400),JetBrains Mono,"8px standard","Subtle: 0px 1px 3px rgba(0,0,0,0.08)","Clean, green-accented, reading-optimized. Documentation-first.","Documentation platforms, API docs, reading-focused interfaces","Use Inter + JetBrains Mono, white bg, #0D9373 green accent, reading-optimized layout"
27,Superhuman,superhuman,developer-tools,"email, premium, dark, keyboard-first, purple-glow, fast, productivity",dark,#6C5CE7,#6C5CE7,#1A1A2E,#FFFFFF,Inter (weight 600),Inter (weight 400),SF Mono,"6-8px standard","Purple glow: 0px 0px 20px rgba(108,92,231,0.3)","Premium dark UI. Keyboard-first. Purple glow aesthetic. Speed as brand.","Premium email, keyboard-first apps, dark productivity tools","Use Inter font, dark bg #1A1A2E, #6C5CE7 purple with glow effects, 6px radius"
28,Expo,expo,developer-tools,"react-native, dark, tight-spacing, code-centric, mobile-dev, technical",dark,#368CCB,#368CCB,#0A0A0A,#FFFFFF,Inter (weight 600),Inter (weight 400),Fira Code,"8px standard","Dark subtle shadows","Dark theme. Tight letter-spacing. Code-centric. React Native platform.","React Native platforms, mobile dev tools, code-centric dark UIs","Use Inter + Fira Code, dark bg #0A0A0A, #368CCB blue accent, tight letter-spacing"
29,Lovable,lovable,developer-tools,"ai-builder, playful, gradients, friendly, developer-aesthetic, purple, full-stack",both,#9B87F5,#9B87F5,#FFFFFF,#1A1F2C,Plus Jakarta Sans (weight 600),Plus Jakarta Sans (weight 400),JetBrains Mono,"8-16px comfortable","Soft: 0px 4px 12px rgba(0,0,0,0.08)","Playful gradients. Friendly developer aesthetic. AI-powered builder.","AI builders, full-stack tools, friendly dev platforms","Use Plus Jakarta Sans, #9B87F5 purple gradient accent, playful friendly tone, 8px radius"
30,Zapier,zapier,developer-tools,"automation, orange, friendly, illustrations, warm, workflow, integrations",light,#FF4A00,#FF4A00,#FFFFFF,#2D2E2E,Degular (weight 700),Inter (weight 400),—,"8-12px comfortable","Soft: 0px 2px 8px rgba(0,0,0,0.08)","Warm orange. Friendly illustration-driven. Automation made approachable.","Automation platforms, workflow tools, integration-focused apps","Use Degular headings + Inter body, #FF4A00 orange, warm white bg, friendly illustrations"
31,Framer,framer,design-productivity,"website-builder, bold, black-blue, motion-first, design-forward, creative",both,#0055FF,#0055FF,#FFFFFF,#000000,Inter (weight 700),Inter (weight 400),—,"8-12px standard","Standard: 0px 4px 16px rgba(0,0,0,0.1)","Bold black and blue. Motion-first. Design-forward. Builder for designers.","Website builders, design-forward tools, motion-heavy creative platforms","Use Inter font, bold #0055FF blue on black/white, motion animations, 8px radius"
32,Notion,notion,design-productivity,"workspace, warm-minimalism, serif-headings, soft-surfaces, friendly, content-first, block-editor",light,#2383E2,#2383E2,#FFFFFF,#37352F,Lyon Display (serif),Inter (weight 400),SFMono-Regular,"3-6px subtle","Subtle: rgba(15,15,15,0.1) 0px 0px 0px 1px","Warm minimalism. Serif headings for personality. Content-first.","Productivity tools, content platforms, knowledge bases","Use Lyon Display serif for headings, Inter for body, warm tones, subtle borders, 3px radius"
33,Miro,miro,design-productivity,"collaboration, yellow, bright, infinite-canvas, friendly, teamwork",light,#FFD02F,#050038,#FFFFFF,#050038,Roobert (weight 700),Inter (weight 400),—,"8-12px standard","Standard: 0px 2px 8px rgba(0,0,0,0.1)","Bright yellow accent. Infinite canvas aesthetic. Playful collaboration.","Visual collaboration, whiteboard tools, team brainstorming platforms","Use Roobert + Inter, #FFD02F yellow accent, bright friendly layout, 8px radius"
34,Airtable,airtable,design-productivity,"spreadsheet, colorful, friendly, structured-data, database, organized",light,#2D7FF9,#2D7FF9,#FFFFFF,#333333,Inter (weight 600),Inter (weight 400),—,"6-8px standard","Standard: 0px 2px 4px rgba(0,0,0,0.1)","Colorful, friendly, structured data aesthetic. Database meets spreadsheet.","Database-spreadsheet hybrids, data management, organized interfaces","Use Inter font, #2D7FF9 blue, colorful category indicators, structured layout"
35,Clay,clay,design-productivity,"creative, organic, soft-gradients, art-directed, flowing, agency",light,#4361EE,#4361EE,#FFFFFF,#1A1A2E,—,—,—,"16-24px generous","Soft organic: 0px 8px 30px rgba(0,0,0,0.08)","Organic shapes. Soft gradients. Art-directed layout. Creative agency feel.","Creative agencies, art-directed sites, organic design projects","Use soft gradients, organic shapes, generous 16px radius, art-directed layout"
36,Cal.com,cal,design-productivity,"scheduling, neutral, developer, simplicity, open-source, clean, functional",light,#111827,#111827,#FFFFFF,#111827,Cal Sans (weight 700),Inter (weight 400),—,"6-8px standard","Subtle: 0px 1px 3px rgba(0,0,0,0.08)","Clean neutral UI. Developer-oriented simplicity. Open-source scheduling.","Scheduling tools, open-source products, clean functional UIs","Use Cal Sans headings + Inter body, neutral bg, #111827 dark text, 6px radius, clean layout"
37,Webflow,webflow,design-productivity,"web-builder, blue, polished, marketing-site, professional, no-code",light,#4353FF,#4353FF,#FFFFFF,#1A1A1A,Manrope (weight 700),Inter (weight 400),—,"8-12px standard","Standard: 0px 4px 12px rgba(0,0,0,0.1)","Blue-accented. Polished marketing site aesthetic. Visual web builder.","Visual web builders, no-code platforms, polished marketing sites","Use Manrope + Inter, #4353FF blue accent, polished white bg, 8px radius"
38,Pinterest,pinterest,design-productivity,"visual-discovery, red, masonry-grid, image-first, rounded, pins, photography",light,#E60023,#E60023,#FFFFFF,#333333,Helvetica Neue (weight 700),Helvetica Neue (weight 400),—,"16px rounded","Standard: 0px 1px 5px rgba(0,0,0,0.1)","Red accent. Masonry grid. Image-first. Pin-based visual discovery.","Visual discovery, image-centric platforms, masonry grid layouts","Use Helvetica Neue, #E60023 red, masonry grid layout, 16px rounded, image-first"
39,Intercom,intercom,design-productivity,"messaging, blue, friendly, conversational, chat, customer-support",light,#396AFF,#396AFF,#FFFFFF,#1B1B30,—,—,—,"8-12px comfortable","Standard: 0px 2px 8px rgba(0,0,0,0.1)","Friendly blue palette. Conversational UI patterns. Chat-centric.","Customer messaging, chat interfaces, support platforms","Use #396AFF blue, friendly conversational UI, 8px radius, chat-oriented layout"
40,ClickHouse,clickhouse,infrastructure-cloud,"database, analytics, yellow, technical, documentation, fast-queries",light,#FADB14,#FADB14,#FFFFFF,#1D1D1D,Inter (weight 700),Inter (weight 400),JetBrains Mono,"4-8px standard","Subtle technical shadows","Yellow-accented. Technical documentation style. Fast analytics database.","Analytics databases, technical docs, data-engineering tools","Use Inter + JetBrains Mono, #FADB14 yellow accent, white bg, technical doc layout"
41,Composio,composio,infrastructure-cloud,"integration, dark, colorful-icons, tool-platform, modern, developer",dark,#6C5CE7,#6C5CE7,#0F0F0F,#FFFFFF,Inter (weight 600),Inter (weight 400),—,"8-12px comfortable","Dark elevated shadows","Modern dark with colorful integration icons. Tool integration platform.","Tool integration platforms, developer ecosystems, dark modern UIs","Use Inter font, dark bg #0F0F0F, #6C5CE7 purple, colorful integration icons"
42,HashiCorp,hashicorp,infrastructure-cloud,"infrastructure, enterprise, black-white, clean, automation, terraform, vault",light,#000000,#000000,#FFFFFF,#000000,Metro Sans (weight 700),Metro Sans (weight 400),Deja Vu Sans Mono,"4-6px conservative","Minimal: 0px 1px 2px rgba(0,0,0,0.06)","Enterprise-clean. Black and white. Infrastructure automation precision.","Infrastructure tools, enterprise software, DevOps platforms","Use Metro Sans, pure B&W palette, clean enterprise layout, 4px radius"
43,MongoDB,mongodb,infrastructure-cloud,"database, document, green-leaf, developer-docs, technical, open-source",light,#00ED64,#001E2B,#FFFFFF,#001E2B,MongoDB Value Serif,Euclid Circular A (weight 400),Source Code Pro,"8px standard","Standard: 0px 2px 8px rgba(0,0,0,0.1)","Green leaf branding. Developer documentation focus. Database-centric.","Document databases, developer documentation, data-centric platforms","Use Euclid Circular A body, #00ED64 green accent, developer doc layout, 8px radius"
44,Sanity,sanity,infrastructure-cloud,"headless-cms, red, content-first, editorial, structured-content, clean",light,#F36458,#F36458,#FFFFFF,#1A1A1A,Inter (weight 700),Inter (weight 400),Roboto Mono,"8px standard","Standard: 0px 2px 8px rgba(0,0,0,0.08)","Red accent. Content-first editorial layout. Headless CMS clarity.","Headless CMS, content management, editorial platforms","Use Inter + Roboto Mono, #F36458 red accent, clean editorial layout, 8px radius"
45,Cohere,cohere,ai-ml,"enterprise-ai, vibrant-gradients, data-rich, dashboard, professional",both,#39594D,#39594D,#FFFFFF,#1D2B24,Styrene A (weight 500),Inter (weight 400),JetBrains Mono,"8px standard","Standard: 0px 2px 8px rgba(0,0,0,0.08)","Vibrant gradients. Data-rich dashboard aesthetic. Enterprise AI.","Enterprise AI platforms, data-rich dashboards, professional AI tools","Use Styrene A + Inter, vibrant gradients, data-rich layout, 8px radius"
46,ElevenLabs,elevenlabs,ai-ml,"voice-ai, dark, cinematic, audio-waveform, immersive, sound",dark,#FFFFFF,#FFFFFF,#000000,#FFFFFF,—,Inter (weight 400),—,"8-12px standard","Dark cinematic: rgba(0,0,0,0.4)","Dark cinematic UI. Audio-waveform aesthetics. Voice platform immersion.","Voice AI platforms, audio tools, cinematic dark interfaces","Use dark bg #000000, white text/accent, audio-waveform visual motifs, 8px radius"
47,MiniMax,minimax,ai-ml,"ai-models, dark, neon-green, bold, futuristic, high-contrast",dark,#00FF88,#00FF88,#0A0A0A,#FFFFFF,Inter (weight 700),Inter (weight 400),—,"8px standard","Neon glow: 0px 0px 20px rgba(0,255,136,0.2)","Bold dark interface. Neon accents. Futuristic AI model provider.","AI model platforms, futuristic dark UIs, neon-accent interfaces","Use Inter font, dark bg #0A0A0A, #00FF88 neon green accents, 8px radius"
48,Mistral AI,mistral.ai,ai-ml,"open-weight-llm, french, minimalism, purple, elegant, clean",light,#F54E42,#F54E42,#FFFFFF,#1A1A1A,Luciole (weight 700),Inter (weight 400),Source Code Pro,"8px standard","Subtle: 0px 2px 8px rgba(0,0,0,0.06)","French-engineered minimalism. Purple-toned. Open-weight LLM elegance.","LLM platforms, open-source AI, minimal SaaS pages","Use Luciole + Inter, #F54E42 accent, minimal white layout, 8px radius"
49,Ollama,ollama,ai-ml,"local-llm, terminal, monochrome, simple, developer, cli, open-source",light,#000000,#000000,#FFFFFF,#000000,Inter (weight 700),Inter (weight 400),JetBrains Mono,"4-8px standard","Minimal: 0px 1px 2px rgba(0,0,0,0.05)","Terminal-first. Monochrome simplicity. Run LLMs locally aesthetic.","Local AI tools, CLI-first interfaces, terminal-native UIs","Use Inter + JetBrains Mono, monochrome B&W, terminal aesthetic, 4px radius"
50,OpenCode AI,opencode.ai,ai-ml,"ai-coding, dark, emerald, developer, code-focused, terminal-green",dark,#10B981,#10B981,#0A0A0A,#E5E7EB,Inter (weight 600),Inter (weight 400),Fira Code,"6-8px standard","Dark subtle: rgba(0,0,0,0.2)","Developer-centric dark theme. Emerald coding accent. Code-first.","AI coding platforms, developer-centric dark tools","Use Inter + Fira Code, dark bg #0A0A0A, #10B981 emerald, code-focused layout"
51,Replicate,replicate,ai-ml,"ml-api, white, code-forward, clean, minimal, api-first, developer",light,#000000,#000000,#FFFFFF,#000000,Inter (weight 600),Inter (weight 400),JetBrains Mono,"8px standard","Subtle: 0px 1px 3px rgba(0,0,0,0.06)","Clean white canvas. Code-forward. API-first ML platform.","ML API platforms, clean developer tools, API-first products","Use Inter + JetBrains Mono, white bg, #000000 text, code-forward layout, 8px radius"
52,VoltAgent,voltagent,ai-ml,"agent-framework, dark, emerald, terminal-native, void-black, developer",dark,#10B981,#10B981,#000000,#E5E7EB,Inter (weight 700),Inter (weight 400),JetBrains Mono,"6-8px standard","Dark: rgba(0,0,0,0.3)","Void-black canvas. Emerald accent. Terminal-native developer framework.","AI agent frameworks, terminal-native tools, dark developer platforms","Use Inter + JetBrains Mono, void-black #000000 bg, #10B981 emerald, 6px radius"
53,xAI,x.ai,ai-ml,"elon-musk, stark, monochrome, futuristic, minimalism, high-contrast",dark,#FFFFFF,#FFFFFF,#000000,#FFFFFF,Inter (weight 700),Inter (weight 400),—,"4px sharp","Minimal dark shadows","Stark monochrome. Futuristic minimalism. High contrast black and white.","Futuristic AI, stark minimal interfaces, monochrome dark UIs","Use Inter font, pure black #000000 bg, white text/accent, sharp 4px radius"
